q_idx,variant,output_json
q1,0,[]
q1,1,"[{'diecutter_id': 25, 'highest_speed': 9}]"
q1,2,"[{'diecutter_id': 25, 'highest_speed': 8}]"
q1,3,"[{'diecutter_id': 25, 'max_speed': 9}]"
q1,4,"[{'diecutter_id': 25, 'highest_speed': 9}]"
q1,5,"[{'diecutter_id': 25, 'speed': 9, 'temperature': 21, 'rotations': 1165, 'timestamp': 1720462243.8512745}]"
q1,6,"[{'diecutter_id': 25, 'chip_id': 4, 'max_speed': 9}]"
q1,7,"[{'diecutter_id': 25, 'highest_speed': 9}]"
q1,8,"[{'diecutter_id': 25, 'chip_id': 4, 'highest_speed': 9}]"
q1,9,"[{'diecutter_id': 25, 'maximum_speed': 9}]"
q2,0,"[{'time_window': 1, 'average_speed': 5.5}, {'time_window': 2, 'average_speed': 4.9}, {'time_window': 3, 'average_speed': 5.0}, {'time_window': 4, 'average_speed': 4.4}, {'time_window': 5, 'average_speed': 5.7}, {'time_window': 6, 'average_speed': 4.3}, {'time_window': 7, 'average_speed': 6.1}, {'time_window': 8, 'average_speed': 4.8}, {'time_window': 9, 'average_speed': 5.1}, {'time_window': 10, 'average_speed': 4.6}]"
q2,1,"[{'interval_mean_speed': 5.7}, {'interval_mean_speed': 4.3}, {'interval_mean_speed': 6.1}, {'interval_mean_speed': 4.8}, {'interval_mean_speed': 5.1}, {'interval_mean_speed': 4.6}, {'interval_mean_speed': 4.2}, {'interval_mean_speed': 3.8}, {'interval_mean_speed': 4.4}, {'interval_mean_speed': 5.5}]"
q2,2,"[{'interval': 1, 'average_speed': 5.7}, {'interval': 2, 'average_speed': 4.3}, {'interval': 3, 'average_speed': 6.1}, {'interval': 4, 'average_speed': 4.8}, {'interval': 5, 'average_speed': 5.1}, {'interval': 6, 'average_speed': 4.6}, {'interval': 7, 'average_speed': 4.2}, {'interval': 8, 'average_speed': 3.8}, {'interval': 9, 'average_speed': 4.4}, {'interval': 10, 'average_speed': 5.5}]"
q2,3,"[{'session_id': 47, 'interval_start': 1720462822.553814, 'mean_speed': 5.7}, {'session_id': 47, 'interval_start': 1720462833.2723384, 'mean_speed': 4.3}, {'session_id': 47, 'interval_start': 1720462843.9731312, 'mean_speed': 6.1}, {'session_id': 47, 'interval_start': 1720462854.6735487, 'mean_speed': 4.8}, {'session_id': 47, 'interval_start': 1720462865.3570957, 'mean_speed': 5.1}, {'session_id': 47, 'interval_start': 1720462876.0313172, 'mean_speed': 4.6}, {'session_id': 47, 'interval_start': 1720462886.7360277, 'mean_speed': 4.2}, {'session_id': 47, 'interval_start': 1720462897.4297335, 'mean_speed': 3.8}, {'session_id': 47, 'interval_start': 1720462908.1439378, 'mean_speed': 4.4}, {'session_id': 47, 'interval_start': 1720462918.8229153, 'mean_speed': 5.5}]"
q2,4,"[{'interval': 1, 'mean_speed': 5.5}, {'interval': 2, 'mean_speed': 4.9}, {'interval': 3, 'mean_speed': 5.0}, {'interval': 4, 'mean_speed': 4.4}, {'interval': 5, 'mean_speed': 5.7}, {'interval': 6, 'mean_speed': 4.3}, {'interval': 7, 'mean_speed': 6.1}, {'interval': 8, 'mean_speed': 4.8}, {'interval': 9, 'mean_speed': 5.1}, {'interval': 10, 'mean_speed': 4.6}]"
q2,5,"[{'interval': 1, 'mean_speed': 8}, {'interval': 2, 'mean_speed': 1}, {'interval': 3, 'mean_speed': 9}, {'interval': 4, 'mean_speed': 1}, {'interval': 5, 'mean_speed': 6}, {'interval': 6, 'mean_speed': 6}, {'interval': 7, 'mean_speed': 6}, {'interval': 8, 'mean_speed': 6}, {'interval': 9, 'mean_speed': 8}, {'interval': 10, 'mean_speed': 6}]"
q2,6,"[{'session_id': 47, 'interval_start': 1720463219.3654788, 'mean_speed': 5.7}, {'session_id': 47, 'interval_start': 1720463230.0543313, 'mean_speed': 4.3}, {'session_id': 47, 'interval_start': 1720463240.7790406, 'mean_speed': 6.1}, {'session_id': 47, 'interval_start': 1720463251.4747958, 'mean_speed': 4.8}, {'session_id': 47, 'interval_start': 1720463262.175349, 'mean_speed': 5.1}, {'session_id': 47, 'interval_start': 1720463272.875676, 'mean_speed': 4.6}, {'session_id': 47, 'interval_start': 1720463283.6032908, 'mean_speed': 4.2}, {'session_id': 47, 'interval_start': 1720463294.308756, 'mean_speed': 3.8}, {'session_id': 47, 'interval_start': 1720463305.0012984, 'mean_speed': 4.4}, {'session_id': 47, 'interval_start': 1720463315.6762414, 'mean_speed': 5.5}]"
q2,7,"[{'interval': 1, 'mean_velocity': 5.7}, {'interval': 2, 'mean_velocity': 4.3}, {'interval': 3, 'mean_velocity': 6.1}, {'interval': 4, 'mean_velocity': 4.8}, {'interval': 5, 'mean_velocity': 5.1}, {'interval': 6, 'mean_velocity': 4.6}, {'interval': 7, 'mean_velocity': 4.2}, {'interval': 8, 'mean_velocity': 3.8}, {'interval': 9, 'mean_velocity': 4.4}, {'interval': 10, 'mean_velocity': 5.5}]"
q2,8,"[{'session_id': 47, 'mean_speed': 5.5}, {'session_id': 47, 'mean_speed': 4.9}, {'session_id': 47, 'mean_speed': 5.0}, {'session_id': 47, 'mean_speed': 4.4}, {'session_id': 47, 'mean_speed': 5.7}, {'session_id': 47, 'mean_speed': 4.3}, {'session_id': 47, 'mean_speed': 6.1}, {'session_id': 47, 'mean_speed': 4.8}, {'session_id': 47, 'mean_speed': 5.1}, {'session_id': 47, 'mean_speed': 4.6}]"
q2,9,"[{'interval': 1, 'mean_speed': 5.5}, {'interval': 2, 'mean_speed': 4.9}, {'interval': 3, 'mean_speed': 5.0}, {'interval': 4, 'mean_speed': 4.4}, {'interval': 5, 'mean_speed': 5.7}, {'interval': 6, 'mean_speed': 4.3}, {'interval': 7, 'mean_speed': 6.1}, {'interval': 8, 'mean_speed': 4.8}, {'interval': 9, 'mean_speed': 5.1}, {'interval': 10, 'mean_speed': 4.6}]"
q3,0,[]
q3,1,[]
q3,2,"[{'count_of_defect_free_cardboards': 16, 'count_of_cardboards_with_defects': 14}]"
q3,3,"[{'defect_free_count': 16, 'defective_count': 14}]"
q3,4,"[{'defect_free_count': 17, 'defects_count': 13}]"
q3,5,[]
q3,6,"[{'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 0, 'with defects': 1}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}, {'defect-free': 1, 'with defects': 0}]"
q3,7,"[{'count_of_defect_free_cardboards': 23, 'count_of_cardboards_with_defects': 7}]"
q3,8,"[{'defect_free_count': 16, 'defects_count': 14}]"
q3,9,"[{'defect_free_count': 1, 'defects_count': 0}, {'defect_free_count': 2, 'defects_count': 0}, {'defect_free_count': 3, 'defects_count': 0}, {'defect_free_count': 4, 'defects_count': 0}, {'defect_free_count': 5, 'defects_count': 0}, {'defect_free_count': 6, 'defects_count': 0}, {'defect_free_count': 7, 'defects_count': 0}, {'defect_free_count': 8, 'defects_count': 0}, {'defect_free_count': 9, 'defects_count': 0}, {'defect_free_count': 10, 'defects_count': 0}, {'defect_free_count': 11, 'defects_count': 0}, {'defect_free_count': 12, 'defects_count': 0}, {'defect_free_count': 13, 'defects_count': 0}, {'defect_free_count': 14, 'defects_count': 0}, {'defect_free_count': 15, 'defects_count': 0}, {'defect_free_count': 16, 'defects_count': 0}, {'defect_free_count': 16, 'defects_count': 1}, {'defect_free_count': 16, 'defects_count': 2}, {'defect_free_count': 16, 'defects_count': 3}, {'defect_free_count': 16, 'defects_count': 4}, {'defect_free_count': 16, 'defects_count': 5}, {'defect_free_count': 16, 'defects_count': 6}, {'defect_free_count': 16, 'defects_count': 7}, {'defect_free_count': 16, 'defects_count': 8}, {'defect_free_count': 16, 'defects_count': 9}, {'defect_free_count': 16, 'defects_count': 10}, {'defect_free_count': 16, 'defects_count': 11}, {'defect_free_count': 16, 'defects_count': 12}, {'defect_free_count': 16, 'defects_count': 13}, {'defect_free_count': 16, 'defects_count': 14}]"
q4,0,[]
q4,1,[]
q4,2,"[{'stack_number': 1, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 2, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 3, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 4, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 5, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 6, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 7, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 8, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 9, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}, {'stack_number': 10, 'presence_of_errors': True, 'types_of_errors': ['Type1', 'Type2'], 'operational_speed': 9, 'operating_temperature': 0}]"
q4,3,[]
q4,4,[]
q4,5,"[{'has_errors': True, 'error_type': 'Mechanical Failure', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Operator Error', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Mechanical Failure', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Mechanical Failure', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': False, 'error_type': None, 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Material Defect', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Operator Error', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': True, 'error_type': 'Mechanical Failure', 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': False, 'error_type': None, 'operating_speed': 9, 'operating_temperature': 0}, {'has_errors': False, 'error_type': None, 'operating_speed': 9, 'operating_temperature': 0}]"
q4,6,[]
q4,7,"[{'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': True, 'error_type': 'Paper Jam', 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': True, 'error_type': 'Ink Low', 'operating_speed': 9, 'present_temperature': 12}, {'session_id': 88, 'has_error': False, 'error_type': None, 'operating_speed': 9, 'present_temperature': 12}]"
q4,8,[]
q4,9,[]
